Product ID,Brand Name,Category,Product Name,Source,Price (INR),Discount (%),Final Price (₹),Rating,Shade/Variant,Product Type,Availability,Ingredients,Skin Type,Best Seller,Most Reviewed,Most Used,Similar Products
1001,Lakmé,Lipstick,Absolute Matte Lipstick,Amazon,388,40,232,4.5,Ruby Red,Matte,In Stock,Shea Butter,Combination,Yes,Yes,Yes,Maybelline Super Stay Matte Ink
1002,Kay Beauty,Lip Crayon,Matte Lip Crayon,Flipkart,822,18,674,4.4,Carnation Nude,Matte,In Stock,Glycerin,Dry,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1003,Nykaa,Nail Polish,Matte Nail Enamel,Sephora,722,25,541,4.3,Rosy Blush,Matte,In Stock,Niacinamide,Sensitive,No,Yes,Yes,Faces Canada Splash Nail Enamel
1004,Revlon,Nail Polish,ColorStay Gel Envy,Flipkart,915,19,741,4.3,Hot Pink,Gel,In Stock,Shea Butter,Combination,No,Yes,Yes,Sally Hansen Miracle Gel
1005,Olay,Moisturizer,Regenerist Micro-Sculpting Cream,Sephora,660,16,554,4.5,Fragrance-Free,Cream,In Stock,Retinol,Oily,Yes,Yes,Yes,L'Oréal Paris Revitalift Cream
1006,Clinique,Moisturizer,Moisture Surge 100H,Nykaa,521,45,286,4.7,Fragrance-Free,Gel,In Stock,Vitamin C,Combination,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1007,Revlon,Nail Polish,ColorStay Gel Envy,Myntra,851,8,782,4.3,Hot Pink,Gel,In Stock,Glycerin,Dry,No,Yes,Yes,Sally Hansen Miracle Gel
1008,Faces Canada,Lipstick,Comfy Matte Lipstick,Amazon,441,46,238,4.4,Cherry Red,Matte,In Stock,Niacinamide,Oily,Yes,No,Yes,Nykaa So Matte Lipstick
1009,Revlon,Nail Polish,ColorStay Gel Envy,Nykaa,360,25,270,4.3,Hot Pink,Gel,In Stock,Vitamin C,Dry,No,Yes,Yes,Sally Hansen Miracle Gel
1010,Huda Beauty,Lipstick,Power Bullet Matte,Nykaa,207,49,105,4.8,Icon,Matte,In Stock,Vitamin C,Dry,Yes,Yes,Yes,Fenty Beauty Stunna Lip Paint
1011,Maybelline,Mascara,Colossal Waterproof Mascara,Nykaa,983,37,619,4.6,Black,Waterproof,In Stock,Niacinamide,Oily,Yes,Yes,Yes,L'Oréal Paris Voluminous Mascara
1012,Clinique,Moisturizer,Moisture Surge 100H,Amazon,601,19,486,4.7,Fragrance-Free,Gel,In Stock,Aloe Vera,Sensitive,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1013,Lakmé,Lipstick,Absolute Matte Lipstick,Sephora,777,42,450,4.5,Ruby Red,Matte,In Stock,Retinol,Combination,Yes,Yes,Yes,Maybelline Super Stay Matte Ink
1014,L'Oréal Paris,Serum,Revitalift Crystal Micro-Essence,Flipkart,230,5,218,4.6,Transparent,Essence,In Stock,Vitamin C,Dry,Yes,Yes,Yes,Olay Regenerist Serum
1015,Maybelline,Mascara,Colossal Waterproof Mascara,Myntra,996,14,856,4.6,Black,Waterproof,In Stock,Shea Butter,Combination,Yes,Yes,Yes,L'Oréal Paris Voluminous Mascara
1016,Olay,Moisturizer,Regenerist Micro-Sculpting Cream,Myntra,627,6,589,4.5,Fragrance-Free,Cream,In Stock,Vitamin C,Oily,Yes,Yes,Yes,L'Oréal Paris Revitalift Cream
1017,Revlon,Nail Polish,ColorStay Gel Envy,Nykaa,419,8,385,4.3,Hot Pink,Gel,In Stock,Hyaluronic Acid,Dry,No,Yes,Yes,Sally Hansen Miracle Gel
1018,Mars,Eyeshadow,Mars 12-Color Palette,Amazon,885,33,592,4.2,Smokey Tones,Powder,In Stock,Retinol,Combination,No,Yes,Yes,Swiss Beauty Ultimate Eyeshadow
1019,Mars,Eyeshadow,Mars 12-Color Palette,Sephora,875,10,787,4.2,Smokey Tones,Powder,In Stock,Shea Butter,Sensitive,No,Yes,Yes,Swiss Beauty Ultimate Eyeshadow
1020,MyGlamm,Concealer,Total Makeover Concealer,Sephora,872,43,497,4.2,Almond,Liquid,In Stock,Vitamin C,Combination,No,Yes,Yes,Maybelline Fit Me Concealer
1021,MAC,Lipstick,Retro Matte Lipstick,Sephora,396,36,253,4.8,Ruby Woo,Matte,In Stock,Hyaluronic Acid,Dry,Yes,Yes,Yes,NARS Power Matte Lip Pigment
1022,Lakmé,Lipstick,Absolute Matte Lipstick,Flipkart,289,42,167,4.5,Ruby Red,Matte,In Stock,Aloe Vera,Dry,Yes,Yes,Yes,Maybelline Super Stay Matte Ink
1023,MyGlamm,Concealer,Total Makeover Concealer,Myntra,386,5,366,4.2,Almond,Liquid,In Stock,Niacinamide,Normal,No,Yes,Yes,Maybelline Fit Me Concealer
1024,Revlon,Nail Polish,ColorStay Gel Envy,Myntra,651,50,325,4.3,Hot Pink,Gel,In Stock,Retinol,Sensitive,No,Yes,Yes,Sally Hansen Miracle Gel
1025,Nykaa,Nail Polish,Matte Nail Enamel,Myntra,321,38,199,4.3,Rosy Blush,Matte,In Stock,Shea Butter,Sensitive,No,Yes,Yes,Faces Canada Splash Nail Enamel
1026,Swiss Beauty,Foundation,HD Matte Foundation,Nykaa,809,28,582,4.3,Beige,Liquid,In Stock,Glycerin,Dry,Yes,Yes,Yes,Faces Canada Weightless Matte Foundation
1027,Nykaa,Nail Polish,Matte Nail Enamel,Amazon,295,31,203,4.3,Rosy Blush,Matte,In Stock,Retinol,Normal,No,Yes,Yes,Faces Canada Splash Nail Enamel
1028,Huda Beauty,Lipstick,Power Bullet Matte,Flipkart,645,32,438,4.8,Icon,Matte,In Stock,Niacinamide,Oily,Yes,Yes,Yes,Fenty Beauty Stunna Lip Paint
1029,L'Oréal Paris,Serum,Revitalift Crystal Micro-Essence,Amazon,682,38,422,4.6,Transparent,Essence,In Stock,Niacinamide,Normal,Yes,Yes,Yes,Olay Regenerist Serum
1030,Kay Beauty,Lip Crayon,Matte Lip Crayon,Nykaa,384,30,268,4.4,Carnation Nude,Matte,In Stock,Retinol,Combination,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1031,Olay,Moisturizer,Regenerist Micro-Sculpting Cream,Amazon,911,37,573,4.5,Fragrance-Free,Cream,In Stock,Glycerin,Oily,Yes,Yes,Yes,L'Oréal Paris Revitalift Cream
1032,MAC,Lipstick,Retro Matte Lipstick,Sephora,263,35,170,4.8,Ruby Woo,Matte,In Stock,Glycerin,Combination,Yes,Yes,Yes,NARS Power Matte Lip Pigment
1033,Dior,Serum,Capture Totale Super Potent,Flipkart,371,16,311,4.9,Fragrance-Free,Serum,Limited,Glycerin,Combination,Yes,Yes,Yes,Lancôme Advanced Génifique
1034,Dior,Serum,Capture Totale Super Potent,Amazon,873,15,742,4.9,Fragrance-Free,Serum,Limited,Niacinamide,Dry,Yes,Yes,Yes,Lancôme Advanced Génifique
1035,Huda Beauty,Lipstick,Power Bullet Matte,Amazon,321,29,227,4.8,Icon,Matte,In Stock,Vitamin C,Dry,Yes,Yes,Yes,Fenty Beauty Stunna Lip Paint
1036,Charlotte Tilbury,Foundation,Airbrush Flawless,Myntra,508,15,431,4.9,Neutral 5,Liquid,Limited,Aloe Vera,Combination,Yes,Yes,Yes,Estée Lauder Double Wear
1037,Charlotte Tilbury,Foundation,Airbrush Flawless,Amazon,467,30,326,4.9,Neutral 5,Liquid,Limited,Retinol,Dry,Yes,Yes,Yes,Estée Lauder Double Wear
1038,Clinique,Moisturizer,Moisture Surge 100H,Sephora,299,12,263,4.7,Fragrance-Free,Gel,In Stock,Aloe Vera,Normal,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1039,L'Oréal Paris,Serum,Revitalift Crystal Micro-Essence,Flipkart,894,18,733,4.6,Transparent,Essence,In Stock,Glycerin,Sensitive,Yes,Yes,Yes,Olay Regenerist Serum
1040,L'Oréal Paris,Serum,Revitalift Crystal Micro-Essence,Amazon,330,27,240,4.6,Transparent,Essence,In Stock,Vitamin C,Combination,Yes,Yes,Yes,Olay Regenerist Serum
1041,Nykaa,Nail Polish,Matte Nail Enamel,Sephora,325,35,211,4.3,Rosy Blush,Matte,In Stock,Aloe Vera,Oily,No,Yes,Yes,Faces Canada Splash Nail Enamel
1042,Kay Beauty,Lip Crayon,Matte Lip Crayon,Myntra,508,5,482,4.4,Carnation Nude,Matte,In Stock,Niacinamide,Oily,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1043,Lakmé,Lipstick,Absolute Matte Lipstick,Flipkart,506,24,384,4.5,Ruby Red,Matte,In Stock,Vitamin C,Sensitive,Yes,Yes,Yes,Maybelline Super Stay Matte Ink
1044,Huda Beauty,Lipstick,Power Bullet Matte,Flipkart,612,42,354,4.8,Icon,Matte,In Stock,Niacinamide,Oily,Yes,Yes,Yes,Fenty Beauty Stunna Lip Paint
1045,Mars,Eyeshadow,Mars 12-Color Palette,Amazon,325,32,220,4.2,Smokey Tones,Powder,In Stock,Vitamin C,Oily,No,Yes,Yes,Swiss Beauty Ultimate Eyeshadow
1046,L'Oréal Paris,Serum,Revitalift Crystal Micro-Essence,Nykaa,825,34,544,4.6,Transparent,Essence,In Stock,Vitamin C,Normal,Yes,Yes,Yes,Olay Regenerist Serum
1047,Dior,Serum,Capture Totale Super Potent,Amazon,259,20,207,4.9,Fragrance-Free,Serum,Limited,Retinol,Normal,Yes,Yes,Yes,Lancôme Advanced Génifique
1048,Mars,Eyeshadow,Mars 12-Color Palette,Amazon,415,29,294,4.2,Smokey Tones,Powder,In Stock,Aloe Vera,Combination,No,Yes,Yes,Swiss Beauty Ultimate Eyeshadow
1049,NARS,Blush,Orgasm Blush,Flipkart,984,39,600,4.7,Peach Pink,Powder,Limited,Vitamin C,Sensitive,Yes,Yes,Yes,MAC Powder Blush
1050,Lakmé,Lipstick,Absolute Matte Lipstick,Amazon,363,13,315,4.5,Ruby Red,Matte,In Stock,Aloe Vera,Normal,Yes,Yes,Yes,Maybelline Super Stay Matte Ink
1051,Faces Canada,Lipstick,Comfy Matte Lipstick,Flipkart,389,40,233,4.4,Cherry Red,Matte,In Stock,Aloe Vera,Normal,Yes,No,Yes,Nykaa So Matte Lipstick
1052,Nykaa,Nail Polish,Matte Nail Enamel,Nykaa,246,50,123,4.3,Rosy Blush,Matte,In Stock,Retinol,Combination,No,Yes,Yes,Faces Canada Splash Nail Enamel
1053,Charlotte Tilbury,Foundation,Airbrush Flawless,Sephora,929,45,510,4.9,Neutral 5,Liquid,Limited,Aloe Vera,Normal,Yes,Yes,Yes,Estée Lauder Double Wear
1054,Clinique,Moisturizer,Moisture Surge 100H,Nykaa,781,20,624,4.7,Fragrance-Free,Gel,In Stock,Hyaluronic Acid,Sensitive,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1055,Faces Canada,Lipstick,Comfy Matte Lipstick,Amazon,850,16,714,4.4,Cherry Red,Matte,In Stock,Hyaluronic Acid,Normal,Yes,No,Yes,Nykaa So Matte Lipstick
1056,Swiss Beauty,Foundation,HD Matte Foundation,Amazon,308,21,243,4.3,Beige,Liquid,In Stock,Glycerin,Normal,Yes,Yes,Yes,Faces Canada Weightless Matte Foundation
1057,MyGlamm,Concealer,Total Makeover Concealer,Myntra,753,23,579,4.2,Almond,Liquid,In Stock,Hyaluronic Acid,Combination,No,Yes,Yes,Maybelline Fit Me Concealer
1058,MAC,Lipstick,Retro Matte Lipstick,Nykaa,481,37,303,4.8,Ruby Woo,Matte,In Stock,Glycerin,Oily,Yes,Yes,Yes,NARS Power Matte Lip Pigment
1059,Revlon,Nail Polish,ColorStay Gel Envy,Nykaa,533,20,426,4.3,Hot Pink,Gel,In Stock,Aloe Vera,Normal,No,Yes,Yes,Sally Hansen Miracle Gel
1060,MyGlamm,Concealer,Total Makeover Concealer,Amazon,310,30,217,4.2,Almond,Liquid,In Stock,Vitamin C,Oily,No,Yes,Yes,Maybelline Fit Me Concealer
1061,Dior,Serum,Capture Totale Super Potent,Nykaa,667,49,340,4.9,Fragrance-Free,Serum,Limited,Aloe Vera,Oily,Yes,Yes,Yes,Lancôme Advanced Génifique
1062,Kay Beauty,Lip Crayon,Matte Lip Crayon,Nykaa,986,25,739,4.4,Carnation Nude,Matte,In Stock,Niacinamide,Dry,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1063,Dior,Serum,Capture Totale Super Potent,Amazon,611,17,507,4.9,Fragrance-Free,Serum,Limited,Retinol,Combination,Yes,Yes,Yes,Lancôme Advanced Génifique
1064,Clinique,Moisturizer,Moisture Surge 100H,Myntra,214,14,184,4.7,Fragrance-Free,Gel,In Stock,Aloe Vera,Dry,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1065,Kay Beauty,Lip Crayon,Matte Lip Crayon,Myntra,893,24,678,4.4,Carnation Nude,Matte,In Stock,Shea Butter,Oily,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1066,Nykaa,Nail Polish,Matte Nail Enamel,Sephora,390,9,354,4.3,Rosy Blush,Matte,In Stock,Vitamin C,Oily,No,Yes,Yes,Faces Canada Splash Nail Enamel
1067,MyGlamm,Concealer,Total Makeover Concealer,Sephora,400,46,216,4.2,Almond,Liquid,In Stock,Hyaluronic Acid,Sensitive,No,Yes,Yes,Maybelline Fit Me Concealer
1068,Olay,Moisturizer,Regenerist Micro-Sculpting Cream,Myntra,210,5,199,4.5,Fragrance-Free,Cream,In Stock,Shea Butter,Combination,Yes,Yes,Yes,L'Oréal Paris Revitalift Cream
1069,Kay Beauty,Lip Crayon,Matte Lip Crayon,Myntra,232,29,164,4.4,Carnation Nude,Matte,In Stock,Aloe Vera,Dry,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1070,MyGlamm,Concealer,Total Makeover Concealer,Nykaa,271,32,184,4.2,Almond,Liquid,In Stock,Retinol,Sensitive,No,Yes,Yes,Maybelline Fit Me Concealer
1071,L'Oréal Paris,Serum,Revitalift Crystal Micro-Essence,Flipkart,405,25,303,4.6,Transparent,Essence,In Stock,Glycerin,Dry,Yes,Yes,Yes,Olay Regenerist Serum
1072,Kay Beauty,Lip Crayon,Matte Lip Crayon,Amazon,221,19,179,4.4,Carnation Nude,Matte,In Stock,Niacinamide,Oily,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1073,Clinique,Moisturizer,Moisture Surge 100H,Myntra,885,47,469,4.7,Fragrance-Free,Gel,In Stock,Niacinamide,Combination,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1074,Huda Beauty,Lipstick,Power Bullet Matte,Nykaa,374,11,332,4.8,Icon,Matte,In Stock,Shea Butter,Sensitive,Yes,Yes,Yes,Fenty Beauty Stunna Lip Paint
1075,Revlon,Nail Polish,ColorStay Gel Envy,Sephora,218,44,122,4.3,Hot Pink,Gel,In Stock,Vitamin C,Oily,No,Yes,Yes,Sally Hansen Miracle Gel
1076,Maybelline,Mascara,Colossal Waterproof Mascara,Flipkart,876,40,525,4.6,Black,Waterproof,In Stock,Glycerin,Combination,Yes,Yes,Yes,L'Oréal Paris Voluminous Mascara
1077,Nykaa,Nail Polish,Matte Nail Enamel,Myntra,684,8,629,4.3,Rosy Blush,Matte,In Stock,Retinol,Normal,No,Yes,Yes,Faces Canada Splash Nail Enamel
1078,Kay Beauty,Lip Crayon,Matte Lip Crayon,Amazon,678,39,413,4.4,Carnation Nude,Matte,In Stock,Aloe Vera,Combination,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1079,Olay,Moisturizer,Regenerist Micro-Sculpting Cream,Myntra,913,42,529,4.5,Fragrance-Free,Cream,In Stock,Glycerin,Oily,Yes,Yes,Yes,L'Oréal Paris Revitalift Cream
1080,Dior,Serum,Capture Totale Super Potent,Myntra,451,46,243,4.9,Fragrance-Free,Serum,Limited,Aloe Vera,Dry,Yes,Yes,Yes,Lancôme Advanced Génifique
1081,Clinique,Moisturizer,Moisture Surge 100H,Sephora,867,33,580,4.7,Fragrance-Free,Gel,In Stock,Niacinamide,Sensitive,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1082,L'Oréal Paris,Serum,Revitalift Crystal Micro-Essence,Sephora,222,12,195,4.6,Transparent,Essence,In Stock,Retinol,Oily,Yes,Yes,Yes,Olay Regenerist Serum
1083,Kay Beauty,Lip Crayon,Matte Lip Crayon,Sephora,690,50,345,4.4,Carnation Nude,Matte,In Stock,Vitamin C,Dry,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1084,MyGlamm,Concealer,Total Makeover Concealer,Sephora,589,42,341,4.2,Almond,Liquid,In Stock,Aloe Vera,Combination,No,Yes,Yes,Maybelline Fit Me Concealer
1085,Maybelline,Mascara,Colossal Waterproof Mascara,Sephora,676,39,412,4.6,Black,Waterproof,In Stock,Vitamin C,Combination,Yes,Yes,Yes,L'Oréal Paris Voluminous Mascara
1086,Lakmé,Lipstick,Absolute Matte Lipstick,Myntra,873,12,768,4.5,Ruby Red,Matte,In Stock,Shea Butter,Oily,Yes,Yes,Yes,Maybelline Super Stay Matte Ink
1087,MAC,Lipstick,Retro Matte Lipstick,Flipkart,725,20,580,4.8,Ruby Woo,Matte,In Stock,Vitamin C,Combination,Yes,Yes,Yes,NARS Power Matte Lip Pigment
1088,Lakmé,Lipstick,Absolute Matte Lipstick,Myntra,659,21,520,4.5,Ruby Red,Matte,In Stock,Retinol,Dry,Yes,Yes,Yes,Maybelline Super Stay Matte Ink
1089,Nykaa,Nail Polish,Matte Nail Enamel,Amazon,608,20,486,4.3,Rosy Blush,Matte,In Stock,Aloe Vera,Normal,No,Yes,Yes,Faces Canada Splash Nail Enamel
1090,Charlotte Tilbury,Foundation,Airbrush Flawless,Myntra,377,26,278,4.9,Neutral 5,Liquid,Limited,Hyaluronic Acid,Dry,Yes,Yes,Yes,Estée Lauder Double Wear
1091,Revlon,Nail Polish,ColorStay Gel Envy,Amazon,811,8,746,4.3,Hot Pink,Gel,In Stock,Shea Butter,Sensitive,No,Yes,Yes,Sally Hansen Miracle Gel
1092,Faces Canada,Lipstick,Comfy Matte Lipstick,Nykaa,886,27,646,4.4,Cherry Red,Matte,In Stock,Shea Butter,Dry,Yes,No,Yes,Nykaa So Matte Lipstick
1093,MyGlamm,Concealer,Total Makeover Concealer,Myntra,341,34,225,4.2,Almond,Liquid,In Stock,Hyaluronic Acid,Normal,No,Yes,Yes,Maybelline Fit Me Concealer
1094,Clinique,Moisturizer,Moisture Surge 100H,Amazon,295,44,165,4.7,Fragrance-Free,Gel,In Stock,Shea Butter,Sensitive,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1095,Huda Beauty,Lipstick,Power Bullet Matte,Flipkart,849,5,806,4.8,Icon,Matte,In Stock,Retinol,Normal,Yes,Yes,Yes,Fenty Beauty Stunna Lip Paint
1096,Clinique,Moisturizer,Moisture Surge 100H,Myntra,271,35,176,4.7,Fragrance-Free,Gel,In Stock,Hyaluronic Acid,Oily,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1097,Kay Beauty,Lip Crayon,Matte Lip Crayon,Nykaa,616,38,381,4.4,Carnation Nude,Matte,In Stock,Niacinamide,Oily,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1098,Maybelline,Mascara,Colossal Waterproof Mascara,Sephora,795,44,445,4.6,Black,Waterproof,In Stock,Glycerin,Dry,Yes,Yes,Yes,L'Oréal Paris Voluminous Mascara
1099,Olay,Moisturizer,Regenerist Micro-Sculpting Cream,Flipkart,217,11,193,4.5,Fragrance-Free,Cream,In Stock,Hyaluronic Acid,Normal,Yes,Yes,Yes,L'Oréal Paris Revitalift Cream
1100,Nykaa,Nail Polish,Matte Nail Enamel,Amazon,390,47,206,4.3,Rosy Blush,Matte,In Stock,Glycerin,Normal,No,Yes,Yes,Faces Canada Splash Nail Enamel
1101,NARS,Blush,Orgasm Blush,Amazon,655,42,379,4.7,Peach Pink,Powder,Limited,Glycerin,Dry,Yes,Yes,Yes,MAC Powder Blush
1102,Charlotte Tilbury,Foundation,Airbrush Flawless,Flipkart,530,42,307,4.9,Neutral 5,Liquid,Limited,Vitamin C,Normal,Yes,Yes,Yes,Estée Lauder Double Wear
1103,MAC,Lipstick,Retro Matte Lipstick,Flipkart,632,45,347,4.8,Ruby Woo,Matte,In Stock,Vitamin C,Combination,Yes,Yes,Yes,NARS Power Matte Lip Pigment
1104,MyGlamm,Concealer,Total Makeover Concealer,Sephora,529,18,433,4.2,Almond,Liquid,In Stock,Shea Butter,Oily,No,Yes,Yes,Maybelline Fit Me Concealer
1105,Maybelline,Mascara,Colossal Waterproof Mascara,Myntra,882,10,793,4.6,Black,Waterproof,In Stock,Glycerin,Normal,Yes,Yes,Yes,L'Oréal Paris Voluminous Mascara
1106,Faces Canada,Lipstick,Comfy Matte Lipstick,Flipkart,581,9,528,4.4,Cherry Red,Matte,In Stock,Shea Butter,Sensitive,Yes,No,Yes,Nykaa So Matte Lipstick
1107,Lakmé,Lipstick,Absolute Matte Lipstick,Amazon,319,33,213,4.5,Ruby Red,Matte,In Stock,Hyaluronic Acid,Combination,Yes,Yes,Yes,Maybelline Super Stay Matte Ink
1108,Huda Beauty,Lipstick,Power Bullet Matte,Amazon,319,42,185,4.8,Icon,Matte,In Stock,Niacinamide,Oily,Yes,Yes,Yes,Fenty Beauty Stunna Lip Paint
1109,Clinique,Moisturizer,Moisture Surge 100H,Myntra,970,37,611,4.7,Fragrance-Free,Gel,In Stock,Hyaluronic Acid,Dry,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1110,Swiss Beauty,Foundation,HD Matte Foundation,Myntra,327,21,258,4.3,Beige,Liquid,In Stock,Aloe Vera,Combination,Yes,Yes,Yes,Faces Canada Weightless Matte Foundation
1111,NARS,Blush,Orgasm Blush,Flipkart,595,10,535,4.7,Peach Pink,Powder,Limited,Glycerin,Oily,Yes,Yes,Yes,MAC Powder Blush
1112,Faces Canada,Lipstick,Comfy Matte Lipstick,Nykaa,287,36,183,4.4,Cherry Red,Matte,In Stock,Vitamin C,Normal,Yes,No,Yes,Nykaa So Matte Lipstick
1113,Kay Beauty,Lip Crayon,Matte Lip Crayon,Sephora,449,49,228,4.4,Carnation Nude,Matte,In Stock,Aloe Vera,Sensitive,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1114,Kay Beauty,Lip Crayon,Matte Lip Crayon,Amazon,673,5,639,4.4,Carnation Nude,Matte,In Stock,Niacinamide,Sensitive,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1115,Kay Beauty,Lip Crayon,Matte Lip Crayon,Nykaa,725,22,565,4.4,Carnation Nude,Matte,In Stock,Shea Butter,Dry,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1116,Revlon,Nail Polish,ColorStay Gel Envy,Flipkart,410,37,258,4.3,Hot Pink,Gel,In Stock,Shea Butter,Dry,No,Yes,Yes,Sally Hansen Miracle Gel
1117,Clinique,Moisturizer,Moisture Surge 100H,Amazon,513,9,466,4.7,Fragrance-Free,Gel,In Stock,Shea Butter,Oily,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1118,Lakmé,Lipstick,Absolute Matte Lipstick,Myntra,225,21,177,4.5,Ruby Red,Matte,In Stock,Vitamin C,Normal,Yes,Yes,Yes,Maybelline Super Stay Matte Ink
1119,Charlotte Tilbury,Foundation,Airbrush Flawless,Amazon,443,6,416,4.9,Neutral 5,Liquid,Limited,Glycerin,Oily,Yes,Yes,Yes,Estée Lauder Double Wear
1120,Olay,Moisturizer,Regenerist Micro-Sculpting Cream,Sephora,613,18,502,4.5,Fragrance-Free,Cream,In Stock,Hyaluronic Acid,Dry,Yes,Yes,Yes,L'Oréal Paris Revitalift Cream
1121,Olay,Moisturizer,Regenerist Micro-Sculpting Cream,Sephora,729,22,568,4.5,Fragrance-Free,Cream,In Stock,Glycerin,Combination,Yes,Yes,Yes,L'Oréal Paris Revitalift Cream
1122,L'Oréal Paris,Serum,Revitalift Crystal Micro-Essence,Flipkart,955,30,668,4.6,Transparent,Essence,In Stock,Hyaluronic Acid,Dry,Yes,Yes,Yes,Olay Regenerist Serum
1123,Swiss Beauty,Foundation,HD Matte Foundation,Myntra,237,5,225,4.3,Beige,Liquid,In Stock,Glycerin,Combination,Yes,Yes,Yes,Faces Canada Weightless Matte Foundation
